Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:48 EST
"Nutrient data for: 10071, Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted"
Nutrient,Unit,1Value per 100 g,"1 cup, diced = 135.0g","3.0 oz = 85.0g",
Proximates
"Water",g,54.80,73.98,46.58
"Energy",kcal,292,394,248
"Protein",g,23.28,31.43,19.79
"Total lipid (fat)",g,21.39,28.88,18.18
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,24,32,20
"Iron, Fe",mg,1.32,1.78,1.12
"Magnesium, Mg",mg,18,24,15
"Phosphorus, P",mg,212,286,180
"Potassium, K",mg,329,444,280
"Sodium, Na",mg,68,92,58
"Zinc, Zn",mg,3.71,5.01,3.15
Vitamins
"Vitamin C, total ascorbic acid",mg,0.5,0.7,0.4
"Thiamin",mg,0.581,0.784,0.494
"Riboflavin",mg,0.329,0.444,0.280
"Niacin",mg,3.991,5.388,3.392
"Vitamin B-6",mg,0.288,0.389,0.245
"Folate, DFE",µg,5,7,4
"Vitamin B-12",µg,0.80,1.08,0.68
"Vitamin A, RAE",µg,2,3,2
"Vitamin A, IU",IU,8,11,7
"Vitamin E (alpha-tocopherol)",mg,0.19,0.26,0.16
"Vitamin D (D2 + D3)",µg,1.5,2.0,1.3
"Vitamin D",IU,61,82,52
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,7.860,10.611,6.681
"Fatty acids, total monounsaturated",g,9.470,12.785,8.050
"Fatty acids, total polyunsaturated",g,2.050,2.768,1.742
"Cholesterol",mg,90,122,76
Amino Acids
Other
"Caffeine",mg,0,0,0
