Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:25 EST
"Nutrient data for: 05046, Chicken, broilers or fryers, dark meat, meat only, cooked, stewed"
Nutrient,Unit,1Value per 100 g,"1 cup, chopped or diced = 140.0g","1 unit (yield from 1 lb ready-to-cook chicken) = 86.0g","0.5 chicken, bone and skin removed = 143.0g",
Proximates
"Water",g,65.83,92.16,56.61,94.14
"Energy",kcal,192,269,165,275
"Protein",g,25.97,36.36,22.33,37.14
"Total lipid (fat)",g,8.98,12.57,7.72,12.84
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,14,20,12,20
"Iron, Fe",mg,1.36,1.90,1.17,1.94
"Magnesium, Mg",mg,20,28,17,29
"Phosphorus, P",mg,143,200,123,204
"Potassium, K",mg,181,253,156,259
"Sodium, Na",mg,74,104,64,106
"Zinc, Zn",mg,2.66,3.72,2.29,3.80
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.055,0.077,0.047,0.079
"Riboflavin",mg,0.202,0.283,0.174,0.289
"Niacin",mg,4.737,6.632,4.074,6.774
"Vitamin B-6",mg,0.210,0.294,0.181,0.300
"Folate, DFE",µg,7,10,6,10
"Vitamin B-12",µg,0.22,0.31,0.19,0.31
"Vitamin A, RAE",µg,21,29,18,30
"Vitamin A, IU",IU,69,97,59,99
"Vitamin E (alpha-tocopherol)",mg,0.27,0.38,0.23,0.39
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.1,0.1
"Vitamin D",IU,5,7,4,7
"Vitamin K (phylloquinone)",µg,3.6,5.0,3.1,5.1
Lipids
"Fatty acids, total saturated",g,2.450,3.430,2.107,3.504
"Fatty acids, total monounsaturated",g,3.260,4.564,2.804,4.662
"Fatty acids, total polyunsaturated",g,2.090,2.926,1.797,2.989
"Cholesterol",mg,88,123,76,126
Amino Acids
Other
"Caffeine",mg,0,0,0,0
