Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:34 EST
"Nutrient data for: 05308, Chicken, cornish game hens, meat and skin, cooked, roasted"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","0.5 bird = 129.0g","1 bird whole = 257.0g",
Proximates
"Water",g,58.68,49.88,75.70,150.81
"Energy",kcal,259,220,334,666
"Protein",g,22.27,18.93,28.73,57.23
"Total lipid (fat)",g,18.21,15.48,23.49,46.80
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,13,11,17,33
"Iron, Fe",mg,0.91,0.77,1.17,2.34
"Magnesium, Mg",mg,18,15,23,46
"Phosphorus, P",mg,146,124,188,375
"Potassium, K",mg,245,208,316,630
"Sodium, Na",mg,64,54,83,164
"Zinc, Zn",mg,1.49,1.27,1.92,3.83
Vitamins
"Vitamin C, total ascorbic acid",mg,0.5,0.4,0.6,1.3
"Thiamin",mg,0.067,0.057,0.086,0.172
"Riboflavin",mg,0.199,0.169,0.257,0.511
"Niacin",mg,5.897,5.012,7.607,15.155
"Vitamin B-6",mg,0.307,0.261,0.396,0.789
"Folate, DFE",µg,2,2,3,5
"Vitamin B-12",µg,0.28,0.24,0.36,0.72
"Vitamin A, RAE",µg,32,27,41,82
"Vitamin A, IU",IU,106,90,137,272
"Vitamin E (alpha-tocopherol)",mg,0.36,0.31,0.46,0.93
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.1,0.3
"Vitamin D",IU,2,2,3,5
"Vitamin K (phylloquinone)",µg,2.4,2.0,3.1,6.2
Lipids
"Fatty acids, total saturated",g,5.050,4.293,6.514,12.978
"Fatty acids, total monounsaturated",g,8.000,6.800,10.320,20.560
"Fatty acids, total polyunsaturated",g,3.600,3.060,4.644,9.252
"Cholesterol",mg,131,111,169,337
Amino Acids
Other
"Caffeine",mg,0,0,0,0
