Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:34 EST
"Nutrient data for: 05309, Chicken, cornish game hens, meat only, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","0.5 bird = 120.0g","1 bird whole = 239.0g",
Proximates
"Water",g,75.84,64.46,91.01,181.26
"Energy",kcal,116,99,139,277
"Protein",g,20.04,17.03,24.05,47.90
"Total lipid (fat)",g,3.33,2.83,4.00,7.96
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,12,10,14,29
"Iron, Fe",mg,0.74,0.63,0.89,1.77
"Magnesium, Mg",mg,21,18,25,50
"Phosphorus, P",mg,160,136,192,382
"Potassium, K",mg,269,229,323,643
"Sodium, Na",mg,68,58,82,163
"Zinc, Zn",mg,1.31,1.11,1.57,3.13
Vitamins
"Vitamin C, total ascorbic acid",mg,0.6,0.5,0.7,1.4
"Thiamin",mg,0.092,0.078,0.110,0.220
"Riboflavin",mg,0.216,0.184,0.259,0.516
"Niacin",mg,6.744,5.732,8.093,16.118
"Vitamin B-6",mg,0.385,0.327,0.462,0.920
"Folate, DFE",µg,3,3,4,7
"Vitamin B-12",µg,0.40,0.34,0.48,0.96
"Vitamin A, RAE",µg,22,19,26,53
"Vitamin A, IU",IU,75,64,90,179
"Vitamin E (alpha-tocopherol)",mg,0.21,0.18,0.25,0.50
"Vitamin K (phylloquinone)",µg,2.4,2.0,2.9,5.7
Lipids
"Fatty acids, total saturated",g,0.850,0.723,1.020,2.031
"Fatty acids, total monounsaturated",g,1.070,0.909,1.284,2.557
"Fatty acids, total polyunsaturated",g,0.810,0.689,0.972,1.936
"Cholesterol",mg,91,77,109,217
Amino Acids
Other
"Caffeine",mg,0,0,0,0
