Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:38 EST
"Nutrient data for: 43282, Quail, cooked, total edible"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 lb = 453.0g",
Proximates
"Water",g,60.00,17.01,271.80
"Energy",kcal,227,64,1028
"Protein",g,25.10,7.12,113.70
"Total lipid (fat)",g,14.10,4.00,63.87
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,15,4,68
"Iron, Fe",mg,4.43,1.26,20.07
"Magnesium, Mg",mg,22,6,100
"Phosphorus, P",mg,279,79,1264
"Potassium, K",mg,216,61,978
"Sodium, Na",mg,52,15,236
"Zinc, Zn",mg,3.10,0.88,14.04
Vitamins
"Vitamin C, total ascorbic acid",mg,2.3,0.7,10.4
"Thiamin",mg,0.220,0.062,0.997
"Riboflavin",mg,0.300,0.085,1.359
"Niacin",mg,7.920,2.245,35.878
"Vitamin B-6",mg,0.620,0.176,2.809
"Folate, DFE",µg,6,2,27
"Vitamin B-12",µg,0.36,0.10,1.63
"Vitamin A, RAE",µg,70,20,317
"Vitamin A, IU",IU,234,66,1060
"Vitamin E (alpha-tocopherol)",mg,0.70,0.20,3.17
"Vitamin D (D2 + D3)",µg,0.2,0.1,0.9
"Vitamin D",IU,8,2,36
"Vitamin K (phylloquinone)",µg,4.2,1.2,19.0
Lipids
"Fatty acids, total saturated",g,3.955,1.121,17.916
"Fatty acids, total monounsaturated",g,4.891,1.387,22.156
"Fatty acids, total polyunsaturated",g,3.487,0.989,15.796
"Cholesterol",mg,86,24,390
Amino Acids
Other
"Caffeine",mg,0,0,0
