Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:39 EST
"Nutrient data for: 05174, Turkey, gizzard, all classes, cooked, simmered"
Nutrient,Unit,1Value per 100 g,"1 gizzard cooked = 45.0g",
Proximates
"Water",g,69.22,31.15
"Energy",kcal,155,70
"Protein",g,26.45,11.90
"Total lipid (fat)",g,4.64,2.09
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,17,8
"Iron, Fe",mg,3.68,1.66
"Magnesium, Mg",mg,21,9
"Phosphorus, P",mg,187,84
"Potassium, K",mg,193,87
"Sodium, Na",mg,127,57
"Zinc, Zn",mg,3.92,1.76
Vitamins
"Vitamin C, total ascorbic acid",mg,6.3,2.8
"Thiamin",mg,0.057,0.026
"Riboflavin",mg,0.357,0.161
"Niacin",mg,6.450,2.902
"Vitamin B-6",mg,0.175,0.079
"Folate, DFE",µg,13,6
"Vitamin B-12",µg,3.91,1.76
"Vitamin A, RAE",µg,11,5
"Vitamin A, IU",IU,37,17
"Vitamin E (alpha-tocopherol)",mg,0.11,0.05
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,1.059,0.477
"Fatty acids, total monounsaturated",g,1.598,0.719
"Fatty acids, total polyunsaturated",g,1.359,0.612
"Fatty acids, total trans",g,0.026,0.012
"Cholesterol",mg,452,203
Amino Acids
Other
"Caffeine",mg,0,0
