Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:26 EST
"Nutrient data for: 36000, APPLEBEE'S, 9 oz house sirloin steak"
Nutrient,Unit,1Value per 100 g,"1 serving = 157.0g",
Proximates
"Water",g,61.88,97.15
"Energy",kcal,189,297
"Protein",g,26.85,42.15
"Total lipid (fat)",g,9.08,14.26
"Carbohydrate, by difference",g,0.00,0.00
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,16,25
"Iron, Fe",mg,2.07,3.25
"Magnesium, Mg",mg,24,38
"Phosphorus, P",mg,202,317
"Potassium, K",mg,350,550
"Sodium, Na",mg,604,948
"Zinc, Zn",mg,5.35,8.40
Vitamins
"Thiamin",mg,0.050,0.079
"Riboflavin",mg,0.287,0.451
"Niacin",mg,4.903,7.698
"Vitamin B-6",mg,0.575,0.903
"Vitamin B-12",µg,2.00,3.14
"Vitamin A, RAE",µg,7,11
"Vitamin A, IU",IU,22,35
"Vitamin E (alpha-tocopherol)",mg,0.37,0.58
Lipids
"Fatty acids, total saturated",g,3.477,5.459
"Fatty acids, total monounsaturated",g,4.350,6.829
"Fatty acids, total polyunsaturated",g,0.532,0.835
"Fatty acids, total trans",g,0.314,0.493
"Cholesterol",mg,79,124
Amino Acids
Other
