Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:27 EST
"Nutrient data for: 36039, Restaurant, family style, hash browns"
Nutrient,Unit,1Value per 100 g,"1 cup = 94.0g","1 serving = 124.0g",
Proximates
"Water",g,59.85,56.26,74.21
"Energy",kcal,197,185,244
"Protein",g,2.49,2.34,3.09
"Total lipid (fat)",g,8.99,8.45,11.15
"Carbohydrate, by difference",g,26.59,24.99,32.97
"Fiber, total dietary",g,2.7,2.5,3.3
"Sugars, total",g,1.38,1.30,1.71
Minerals
"Calcium, Ca",mg,17,16,21
"Iron, Fe",mg,0.56,0.53,0.69
"Magnesium, Mg",mg,26,24,32
"Phosphorus, P",mg,71,67,88
"Potassium, K",mg,416,391,516
"Sodium, Na",mg,468,440,580
"Zinc, Zn",mg,0.29,0.27,0.36
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.007,0.007,0.009
"Riboflavin",mg,0.048,0.045,0.060
"Niacin",mg,2.170,2.040,2.691
"Vitamin B-6",mg,0.203,0.191,0.252
"Vitamin E (alpha-tocopherol)",mg,0.55,0.52,0.68
"Vitamin K (phylloquinone)",µg,32.6,30.6,40.4
Lipids
"Fatty acids, total saturated",g,1.689,1.588,2.094
"Fatty acids, total monounsaturated",g,2.035,1.913,2.523
"Fatty acids, total polyunsaturated",g,5.029,4.727,6.236
"Fatty acids, total trans",g,0.048,0.045,0.060
Amino Acids
Other
