Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:28 EST
"Nutrient data for: 36008, T.G.I. FRIDAY'S, fried mozzarella"
Nutrient,Unit,1Value per 100 g,"1 piece = 35.0g","1 serving = 212.0g",
Proximates
"Water",g,37.02,12.96,78.48
"Energy",kcal,333,117,706
"Protein",g,15.82,5.54,33.54
"Total lipid (fat)",g,18.76,6.57,39.77
"Carbohydrate, by difference",g,25.33,8.87,53.70
"Fiber, total dietary",g,2.2,0.8,4.7
"Sugars, total",g,1.45,0.51,3.07
Minerals
"Calcium, Ca",mg,351,123,744
"Iron, Fe",mg,0.59,0.21,1.25
"Magnesium, Mg",mg,23,8,49
"Phosphorus, P",mg,290,102,615
"Potassium, K",mg,97,34,206
"Sodium, Na",mg,738,258,1565
"Zinc, Zn",mg,2.24,0.78,4.75
Vitamins
"Thiamin",mg,0.087,0.030,0.184
"Riboflavin",mg,0.267,0.093,0.566
"Niacin",mg,0.703,0.246,1.490
"Vitamin B-6",mg,0.069,0.024,0.146
"Vitamin B-12",µg,0.94,0.33,1.99
"Vitamin A, RAE",µg,89,31,189
"Vitamin A, IU",IU,331,116,702
"Vitamin E (alpha-tocopherol)",mg,0.86,0.30,1.82
Lipids
"Fatty acids, total saturated",g,7.172,2.510,15.205
"Fatty acids, total monounsaturated",g,4.481,1.568,9.500
"Fatty acids, total polyunsaturated",g,5.261,1.841,11.153
"Fatty acids, total trans",g,0.342,0.120,0.725
"Cholesterol",mg,43,15,91
Amino Acids
Other
