Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:18 EST
"Nutrient data for: 07043, Roast beef, deli style, prepackaged, sliced"
Nutrient,Unit,1Value per 100 g,"1 slice oval = 9.3g","1 slice rectangle = 13.8g",
Proximates
"Water",g,73.72,6.86,10.17
"Energy",kcal,115,11,16
"Protein",g,18.62,1.73,2.57
"Total lipid (fat)",g,3.69,0.34,0.51
"Carbohydrate, by difference",g,0.64,0.06,0.09
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.29,0.03,0.04
Minerals
"Calcium, Ca",mg,5,0,1
"Iron, Fe",mg,2.05,0.19,0.28
"Magnesium, Mg",mg,20,2,3
"Phosphorus, P",mg,242,23,33
"Potassium, K",mg,647,60,89
"Sodium, Na",mg,853,79,118
"Zinc, Zn",mg,3.20,0.30,0.44
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.043,0.004,0.006
"Riboflavin",mg,0.213,0.020,0.029
"Niacin",mg,5.581,0.519,0.770
"Vitamin B-6",mg,0.460,0.043,0.063
"Folate, DFE",µg,5,0,1
"Vitamin B-12",µg,2.04,0.19,0.28
"Vitamin A, RAE",µg,3,0,0
"Vitamin A, IU",IU,11,1,2
"Vitamin E (alpha-tocopherol)",mg,0.49,0.05,0.07
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,1,0,0
"Vitamin K (phylloquinone)",µg,1.6,0.1,0.2
Lipids
"Fatty acids, total saturated",g,1.318,0.123,0.182
"Fatty acids, total monounsaturated",g,1.521,0.141,0.210
"Fatty acids, total polyunsaturated",g,0.270,0.025,0.037
"Fatty acids, total trans",g,0.148,0.014,0.020
"Cholesterol",mg,51,5,7
Amino Acids
Other
"Caffeine",mg,0,0,0
