Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:19 EST
"Nutrient data for: 07915, Sausage, Polish, beef with chicken, hot"
Nutrient,Unit,1Value per 100 g,"1 serving 5 pieces = 55.0g","5.0 pieces = 55.0g",
Proximates
"Water",g,55.20,30.36,30.36
"Energy",kcal,259,142,142
"Protein",g,17.60,9.68,9.68
"Total lipid (fat)",g,19.40,10.67,10.67
"Carbohydrate, by difference",g,3.60,1.98,1.98
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,12,7,7
"Iron, Fe",mg,0.88,0.48,0.48
"Magnesium, Mg",mg,14,8,8
"Phosphorus, P",mg,136,75,75
"Potassium, K",mg,237,130,130
"Sodium, Na",mg,1540,847,847
"Zinc, Zn",mg,1.93,1.06,1.06
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.502,0.276,0.276
"Riboflavin",mg,0.148,0.081,0.081
"Niacin",mg,3.443,1.894,1.894
"Vitamin B-6",mg,0.190,0.104,0.104
"Folate, DFE",µg,2,1,1
"Vitamin B-12",µg,0.98,0.54,0.54
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,8.010,4.405,4.405
"Fatty acids, total monounsaturated",g,9.700,5.335,5.335
"Fatty acids, total polyunsaturated",g,0.790,0.435,0.435
"Cholesterol",mg,66,36,36
Amino Acids
Other
"Caffeine",mg,0,0,0
