Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:52 EST
"Nutrient data for: 25010, Formulated bar, MARS SNACKFOOD US, COCOAVIA, Chocolate Almond Snack Bar"
Nutrient,Unit,1Value per 100 g,"1 bar = 22.0g",
Proximates
"Water",g,22.90,5.04
"Energy",kcal,347,76
"Protein",g,7.72,1.70
"Total lipid (fat)",g,14.19,3.12
"Carbohydrate, by difference",g,51.68,11.37
"Fiber, total dietary",g,5.2,1.1
"Sugars, total",g,27.03,5.95
Minerals
"Calcium, Ca",mg,1209,266
"Iron, Fe",mg,2.21,0.49
"Sodium, Na",mg,260,57
Vitamins
"Vitamin C, total ascorbic acid",mg,42.5,9.3
"Vitamin B-6",mg,0.909,0.200
"Folate, DFE",µg,309,68
"Vitamin B-12",µg,2.73,0.60
"Vitamin A, IU",IU,32,7
Lipids
"Fatty acids, total saturated",g,4.326,0.952
"Fatty acids, total trans",g,0.037,0.008
"Cholesterol",mg,2,0
Amino Acids
Other
