Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:56 EST
"Nutrient data for: 06405, CAMPBELL'S CHUNKY, HEALTHY REQUEST Chicken Noodle Soup"
Nutrient,Unit,1Value per 100 g,"1 cup = 245.0g",
Proximates
"Water",g,87.59,214.60
"Energy",kcal,41,100
"Protein",g,2.97,7.28
"Total lipid (fat)",g,0.97,2.38
"Carbohydrate, by difference",g,5.88,14.41
"Fiber, total dietary",g,0.8,2.0
"Sugars, total",g,1.12,2.74
Minerals
"Calcium, Ca",mg,12,29
"Iron, Fe",mg,0.34,0.83
"Magnesium, Mg",mg,8,20
"Phosphorus, P",mg,36,88
"Potassium, K",mg,317,777
"Sodium, Na",mg,161,394
"Zinc, Zn",mg,0.47,1.15
Vitamins
"Vitamin C, total ascorbic acid",mg,0.5,1.2
"Vitamin A, IU",IU,491,1203
Lipids
"Fatty acids, total saturated",g,0.180,0.441
"Fatty acids, total monounsaturated",g,0.400,0.980
"Fatty acids, total polyunsaturated",g,0.180,0.441
"Fatty acids, total trans",g,0.010,0.025
"Cholesterol",mg,8,20
Amino Acids
Other
