Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:56 EST
"Nutrient data for: 06399, CAMPBELL'S CHUNKY Soups, Grilled Chicken & Sausage Gumbo Soup"
Nutrient,Unit,1Value per 100 g,"1 cup = 245.0g",
Proximates
"Water",g,85.60,209.72
"Energy",kcal,57,140
"Protein",g,2.86,7.01
"Total lipid (fat)",g,1.22,2.99
"Carbohydrate, by difference",g,8.57,21.00
"Fiber, total dietary",g,0.8,2.0
"Sugars, total",g,1.63,3.99
Minerals
"Calcium, Ca",mg,8,20
"Iron, Fe",mg,0.15,0.37
"Sodium, Na",mg,347,850
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,163,399
Lipids
"Fatty acids, total saturated",g,0.612,1.499
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,8,20
Amino Acids
Other
