Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:57 EST
"Nutrient data for: 06062, CAMPBELL'S, Red and White, Chicken Noodle Soup, condensed"
Nutrient,Unit,1Value per 100 g,"0.5 cup = 123.0g",
Proximates
"Water",g,88.32,108.63
"Energy",kcal,47,58
"Protein",g,2.37,2.92
"Total lipid (fat)",g,1.53,1.88
"Carbohydrate, by difference",g,5.97,7.34
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,6,7
"Iron, Fe",mg,0.69,0.85
"Magnesium, Mg",mg,8,10
"Phosphorus, P",mg,38,47
"Potassium, K",mg,44,54
"Sodium, Na",mg,683,840
"Zinc, Zn",mg,0.28,0.34
Vitamins
Lipids
"Fatty acids, total saturated",g,0.388,0.477
"Fatty acids, total monounsaturated",g,0.534,0.657
"Fatty acids, total polyunsaturated",g,0.335,0.412
"Fatty acids, total trans",g,0.007,0.009
"Cholesterol",mg,8,10
Amino Acids
Other
