Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:59 EST
"Nutrient data for: 06126, Gravy, turkey, dry"
Nutrient,Unit,1Value per 100 g,"1 serving = 7.0g",
Proximates
"Water",g,4.67,0.33
"Energy",kcal,367,26
"Protein",g,10.42,0.73
"Total lipid (fat)",g,7.19,0.50
"Carbohydrate, by difference",g,65.12,4.56
Minerals
"Calcium, Ca",mg,146,10
"Iron, Fe",mg,3.29,0.23
"Magnesium, Mg",mg,44,3
"Phosphorus, P",mg,254,18
"Potassium, K",mg,428,30
"Sodium, Na",mg,4392,307
"Zinc, Zn",mg,1.26,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,0.2,0.0
"Thiamin",mg,0.211,0.015
"Riboflavin",mg,0.450,0.032
"Niacin",mg,2.770,0.194
"Vitamin B-6",mg,0.204,0.014
"Folate, DFE",µg,93,7
"Vitamin B-12",µg,0.58,0.04
"Vitamin A, RAE",µg,8,1
"Vitamin A, IU",IU,35,2
Lipids
"Fatty acids, total saturated",g,1.975,0.138
"Fatty acids, total monounsaturated",g,2.575,0.180
"Fatty acids, total polyunsaturated",g,2.196,0.154
"Cholesterol",mg,14,1
Amino Acids
Other
