Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:00 EST
"Nutrient data for: 06179, Sauce, fish, ready-to-serve"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 18.0g",
Proximates
"Water",g,71.07,12.79
"Energy",kcal,35,6
"Protein",g,5.06,0.91
"Total lipid (fat)",g,0.01,0.00
"Carbohydrate, by difference",g,3.64,0.66
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,3.64,0.66
Minerals
"Calcium, Ca",mg,43,8
"Iron, Fe",mg,0.78,0.14
"Magnesium, Mg",mg,175,32
"Phosphorus, P",mg,7,1
"Potassium, K",mg,288,52
"Sodium, Na",mg,7851,1413
"Zinc, Zn",mg,0.20,0.04
Vitamins
"Vitamin C, total ascorbic acid",mg,0.5,0.1
"Thiamin",mg,0.012,0.002
"Riboflavin",mg,0.057,0.010
"Niacin",mg,2.313,0.416
"Vitamin B-6",mg,0.396,0.071
"Folate, DFE",µg,51,9
"Vitamin B-12",µg,0.48,0.09
"Vitamin A, RAE",µg,4,1
"Vitamin A, IU",IU,12,2
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.003,0.001
"Fatty acids, total monounsaturated",g,0.002,0.000
"Fatty acids, total polyunsaturated",g,0.003,0.001
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
