Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:01 EST
"Nutrient data for: 06432, Soup, beef broth, bouillon, consomme, prepared with equal volume water"
Nutrient,Unit,1Value per 100 g,"1 cup (8 fl oz) = 241.0g","1 can (10.5 oz), prepared = 586.0g",
Proximates
"Water",g,96.24,231.94,563.97
"Energy",kcal,12,29,70
"Protein",g,2.22,5.35,13.01
"Total lipid (fat)",g,0.00,0.00,0.00
"Carbohydrate, by difference",g,0.73,1.76,4.28
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,4,10,23
"Iron, Fe",mg,0.22,0.53,1.29
"Magnesium, Mg",mg,0,0,0
"Phosphorus, P",mg,13,31,76
"Potassium, K",mg,64,154,375
"Sodium, Na",mg,264,636,1547
"Zinc, Zn",mg,0.15,0.36,0.88
Vitamins
"Vitamin C, total ascorbic acid",mg,0.4,1.0,2.3
"Thiamin",mg,0.009,0.022,0.053
"Riboflavin",mg,0.012,0.029,0.070
"Niacin",mg,0.295,0.711,1.729
"Vitamin B-6",mg,0.010,0.024,0.059
"Folate, DFE",µg,1,2,6
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
