Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:03 EST
"Nutrient data for: 06067, Soup, chunky vegetable, canned, ready-to-serve"
Nutrient,Unit,1Value per 100 g,"1 cup = 230.0g",
Proximates
"Water",g,89.53,205.92
"Energy",kcal,39,90
"Protein",g,1.14,2.62
"Total lipid (fat)",g,0.36,0.83
"Carbohydrate, by difference",g,7.90,18.17
"Fiber, total dietary",g,1.1,2.5
"Sugars, total",g,1.56,3.59
Minerals
"Calcium, Ca",mg,18,41
"Iron, Fe",mg,0.51,1.17
"Magnesium, Mg",mg,10,23
"Phosphorus, P",mg,29,67
"Potassium, K",mg,180,414
"Sodium, Na",mg,267,614
"Zinc, Zn",mg,0.23,0.53
Vitamins
"Vitamin C, total ascorbic acid",mg,0.7,1.6
"Thiamin",mg,0.029,0.067
"Riboflavin",mg,0.043,0.099
"Niacin",mg,0.542,1.247
"Vitamin B-6",mg,0.065,0.150
"Folate, DFE",µg,7,16
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,52,120
"Vitamin A, IU",IU,1049,2413
"Vitamin E (alpha-tocopherol)",mg,0.17,0.39
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,8.1,18.6
Lipids
"Fatty acids, total saturated",g,0.045,0.103
"Fatty acids, total monounsaturated",g,0.152,0.350
"Fatty acids, total polyunsaturated",g,0.133,0.306
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
