Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:05 EST
"Nutrient data for: 06611, Soup, SWANSON, beef broth, lower sodium"
Nutrient,Unit,1Value per 100 g,"1 cup = 213.0g","1 can 14.5 oz = 413.0g","1 carton 32 oz = 925.0g",
Proximates
"Water",g,98.00,208.74,404.74,906.50
"Energy",kcal,6,13,25,56
"Protein",g,1.20,2.56,4.96,11.10
"Total lipid (fat)",g,0.08,0.17,0.33,0.74
"Carbohydrate, by difference",g,0.21,0.45,0.87,1.94
"Sugars, total",g,0.20,0.43,0.83,1.85
Minerals
"Calcium, Ca",mg,2,4,8,18
"Iron, Fe",mg,0.04,0.09,0.17,0.37
"Magnesium, Mg",mg,1,2,4,9
"Phosphorus, P",mg,10,21,41,92
"Potassium, K",mg,23,49,95,213
"Sodium, Na",mg,180,383,743,1665
"Zinc, Zn",mg,0.32,0.68,1.32,2.96
Vitamins
"Thiamin",mg,0.020,0.043,0.083,0.185
"Riboflavin",mg,0.085,0.181,0.351,0.786
"Niacin",mg,0.500,1.065,2.065,4.625
"Vitamin B-6",mg,0.107,0.228,0.442,0.990
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00,0.00,0.00
Lipids
"Fatty acids, total saturated",g,0.030,0.064,0.124,0.278
"Fatty acids, total monounsaturated",g,0.012,0.026,0.050,0.111
"Fatty acids, total polyunsaturated",g,0.002,0.004,0.008,0.019
"Fatty acids, total trans",g,0.003,0.006,0.012,0.028
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
