Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:28 EST
"Nutrient data for: 02001, Spices, allspice, ground"
Nutrient,Unit,1Value per 100 g,"1 tsp = 1.9g","1 tbsp = 6.0g",
Proximates
"Water",g,8.46,0.16,0.51
"Energy",kcal,263,5,16
"Protein",g,6.09,0.12,0.37
"Total lipid (fat)",g,8.69,0.17,0.52
"Carbohydrate, by difference",g,72.12,1.37,4.33
"Fiber, total dietary",g,21.6,0.4,1.3
Minerals
"Calcium, Ca",mg,661,13,40
"Iron, Fe",mg,7.06,0.13,0.42
"Magnesium, Mg",mg,135,3,8
"Phosphorus, P",mg,113,2,7
"Potassium, K",mg,1044,20,63
"Sodium, Na",mg,77,1,5
"Zinc, Zn",mg,1.01,0.02,0.06
Vitamins
"Vitamin C, total ascorbic acid",mg,39.2,0.7,2.4
"Thiamin",mg,0.101,0.002,0.006
"Riboflavin",mg,0.063,0.001,0.004
"Niacin",mg,2.860,0.054,0.172
"Vitamin B-6",mg,0.210,0.004,0.013
"Folate, DFE",µg,36,1,2
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,27,1,2
"Vitamin A, IU",IU,540,10,32
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,2.550,0.048,0.153
"Fatty acids, total monounsaturated",g,0.660,0.013,0.040
"Fatty acids, total polyunsaturated",g,2.360,0.045,0.142
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
