Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:39 EST
"Nutrient data for: 19921, Candies, Tamarind"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,2.52,
"Energy",kcal,368,
"Protein",g,0.00,
"Total lipid (fat)",g,0.00,
"Carbohydrate, by difference",g,91.96,
"Fiber, total dietary",g,2.5,
"Sugars, total",g,78.57,
Minerals
"Calcium, Ca",mg,0,
"Iron, Fe",mg,0.00,
"Magnesium, Mg",mg,45,
"Phosphorus, P",mg,56,
"Potassium, K",mg,309,
"Sodium, Na",mg,1643,
"Zinc, Zn",mg,0.08,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.212,
"Riboflavin",mg,0.085,
"Niacin",mg,0.950,
"Vitamin B-6",mg,0.032,
"Folate, DFE",µg,7,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,1,
"Vitamin A, IU",IU,15,
"Vitamin E (alpha-tocopherol)",mg,0.05,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,1.4,
Lipids
"Fatty acids, total saturated",g,0.000,
"Fatty acids, total monounsaturated",g,0.000,
"Fatty acids, total polyunsaturated",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
