Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:39 EST
"Nutrient data for: 19383, Candies, toffee, prepared-from-recipe"
Nutrient,Unit,1Value per 100 g,"1 piece = 12.0g",
Proximates
"Water",g,0.55,0.07
"Energy",kcal,560,67
"Protein",g,1.07,0.13
"Total lipid (fat)",g,32.75,3.93
"Carbohydrate, by difference",g,64.72,7.77
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,63.47,7.62
Minerals
"Calcium, Ca",mg,34,4
"Iron, Fe",mg,0.03,0.00
"Magnesium, Mg",mg,4,0
"Phosphorus, P",mg,32,4
"Potassium, K",mg,51,6
"Sodium, Na",mg,135,16
"Zinc, Zn",mg,0.12,0.01
Vitamins
"Vitamin C, total ascorbic acid",mg,0.2,0.0
"Thiamin",mg,0.008,0.001
"Riboflavin",mg,0.068,0.008
"Niacin",mg,0.029,0.003
"Vitamin B-6",mg,0.009,0.001
"Folate, DFE",µg,2,0
"Vitamin B-12",µg,0.11,0.01
"Vitamin A, RAE",µg,319,38
"Vitamin A, IU",IU,1152,138
"Vitamin E (alpha-tocopherol)",mg,0.94,0.11
"Vitamin K (phylloquinone)",µg,2.8,0.3
Lipids
"Fatty acids, total saturated",g,20.565,2.468
"Fatty acids, total monounsaturated",g,8.964,1.076
"Fatty acids, total polyunsaturated",g,1.222,0.147
"Fatty acids, total trans",g,0.674,0.081
"Cholesterol",mg,104,12
Amino Acids
Other
"Caffeine",mg,0,0
