Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:44 EST
"Nutrient data for: 19318, Puddings, banana, dry mix, instant"
Nutrient,Unit,1Value per 100 g,"1 package (3.5 oz) = 99.0g","1 portion, amount to make 1/2 cup = 25.0g",
Proximates
"Water",g,2.80,2.77,0.70
"Energy",kcal,367,363,92
"Protein",g,0.00,0.00,0.00
"Total lipid (fat)",g,0.60,0.59,0.15
"Carbohydrate, by difference",g,92.70,91.77,23.18
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,76.57,75.80,19.14
Minerals
"Calcium, Ca",mg,6,6,2
"Iron, Fe",mg,0.12,0.12,0.03
"Magnesium, Mg",mg,2,2,0
"Phosphorus, P",mg,804,796,201
"Potassium, K",mg,15,15,4
"Sodium, Na",mg,1499,1484,375
"Zinc, Zn",mg,0.04,0.04,0.01
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.001,0.001,0.000
"Riboflavin",mg,0.003,0.003,0.001
"Niacin",mg,0.002,0.002,0.000
"Vitamin B-6",mg,0.001,0.001,0.000
"Folate, DFE",µg,0,0,0
"Vitamin B-12",µg,0.01,0.01,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,0.090,0.089,0.022
"Fatty acids, total monounsaturated",g,0.140,0.139,0.035
"Fatty acids, total polyunsaturated",g,0.350,0.346,0.087
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
