Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:24 EST
"Nutrient data for: 11285, Onions, canned, solids and liquids"
Nutrient,Unit,1Value per 100 g,"1 onion = 63.0g","0.5 cup, chopped or diced = 112.0g",
Proximates
"Water",g,94.10,59.28,105.39
"Energy",kcal,19,12,21
"Protein",g,0.85,0.54,0.95
"Total lipid (fat)",g,0.09,0.06,0.10
"Carbohydrate, by difference",g,4.02,2.53,4.50
"Fiber, total dietary",g,1.2,0.8,1.3
"Sugars, total",g,2.20,1.39,2.46
Minerals
"Calcium, Ca",mg,45,28,50
"Iron, Fe",mg,0.13,0.08,0.15
"Magnesium, Mg",mg,6,4,7
"Phosphorus, P",mg,28,18,31
"Potassium, K",mg,111,70,124
"Sodium, Na",mg,371,234,416
"Zinc, Zn",mg,0.29,0.18,0.32
Vitamins
"Vitamin C, total ascorbic acid",mg,4.3,2.7,4.8
"Thiamin",mg,0.032,0.020,0.036
"Riboflavin",mg,0.006,0.004,0.007
"Niacin",mg,0.061,0.038,0.068
"Vitamin B-6",mg,0.137,0.086,0.153
"Folate, DFE",µg,10,6,11
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,1,1,1
"Vitamin E (alpha-tocopherol)",mg,0.07,0.04,0.08
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.2,0.1,0.2
Lipids
"Fatty acids, total saturated",g,0.016,0.010,0.018
"Fatty acids, total monounsaturated",g,0.013,0.008,0.015
"Fatty acids, total polyunsaturated",g,0.036,0.023,0.040
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
