Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:25 EST
"Nutrient data for: 31034, Peppers, hot pickled, canned"
Nutrient,Unit,1Value per 100 g,"0.25 cup drained = 34.0g",
Proximates
"Water",g,90.20,30.67
"Energy",kcal,22,7
"Protein",g,0.80,0.27
"Total lipid (fat)",g,0.40,0.14
"Carbohydrate, by difference",g,4.56,1.55
"Fiber, total dietary",g,2.6,0.9
"Sugars, total",g,1.60,0.54
Minerals
"Calcium, Ca",mg,61,21
"Iron, Fe",mg,0.32,0.11
"Magnesium, Mg",mg,6,2
"Phosphorus, P",mg,13,4
"Potassium, K",mg,113,38
"Sodium, Na",mg,1430,486
"Zinc, Zn",mg,0.09,0.03
Vitamins
"Vitamin C, total ascorbic acid",mg,12.3,4.2
"Thiamin",mg,0.037,0.013
"Riboflavin",mg,0.023,0.008
"Niacin",mg,0.343,0.117
"Vitamin B-6",mg,0.105,0.036
"Folate, DFE",µg,13,4
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,43,15
"Vitamin A, IU",IU,870,296
"Vitamin E (alpha-tocopherol)",mg,0.90,0.31
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,21.9,7.4
Lipids
"Fatty acids, total saturated",g,0.061,0.021
"Fatty acids, total monounsaturated",g,0.023,0.008
"Fatty acids, total polyunsaturated",g,0.143,0.049
"Fatty acids, total trans",g,0.001,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
