Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:28 EST
"Nutrient data for: 11393, Potatoes, hash brown, frozen, with butter sauce, prepared"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,63.71,
"Energy",kcal,178,
"Protein",g,2.46,
"Total lipid (fat)",g,8.79,
"Carbohydrate, by difference",g,24.13,
"Fiber, total dietary",g,3.8,
Minerals
"Calcium, Ca",mg,33,
"Iron, Fe",mg,0.99,
"Magnesium, Mg",mg,15,
"Phosphorus, P",mg,38,
"Potassium, K",mg,327,
"Sodium, Na",mg,101,
"Zinc, Zn",mg,0.33,
Vitamins
"Vitamin C, total ascorbic acid",mg,3.8,
"Thiamin",mg,0.052,
"Riboflavin",mg,0.031,
"Niacin",mg,1.421,
"Vitamin B-6",mg,0.266,
"Folate, DFE",µg,13,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,26,
"Vitamin A, IU",IU,111,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total saturated",g,3.373,
"Fatty acids, total monounsaturated",g,3.149,
"Fatty acids, total polyunsaturated",g,1.814,
"Cholesterol",mg,23,
Amino Acids
Other
