Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:30 EST
"Nutrient data for: 11474, Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt"
Nutrient,Unit,1Value per 100 g,"1 cup slices = 192.0g",
Proximates
"Water",g,92.24,177.10
"Energy",kcal,25,48
"Protein",g,1.28,2.46
"Total lipid (fat)",g,0.20,0.38
"Carbohydrate, by difference",g,5.54,10.64
"Fiber, total dietary",g,1.4,2.7
"Sugars, total",g,2.33,4.47
Minerals
"Calcium, Ca",mg,20,38
"Iron, Fe",mg,0.52,1.00
"Magnesium, Mg",mg,27,52
"Phosphorus, P",mg,41,79
"Potassium, K",mg,253,486
"Sodium, Na",mg,6,12
"Zinc, Zn",mg,0.34,0.65
Vitamins
"Vitamin C, total ascorbic acid",mg,6.8,13.1
"Thiamin",mg,0.036,0.069
"Riboflavin",mg,0.047,0.090
"Niacin",mg,0.440,0.845
"Vitamin B-6",mg,0.099,0.190
"Folate, DFE",µg,13,25
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,10,19
"Vitamin A, IU",IU,201,386
"Vitamin E (alpha-tocopherol)",mg,0.15,0.29
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,5.4,10.4
Lipids
"Fatty acids, total saturated",g,0.040,0.077
"Fatty acids, total monounsaturated",g,0.015,0.029
"Fatty acids, total polyunsaturated",g,0.082,0.157
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
