Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:31 EST
"Nutrient data for: 11527, Tomatoes, green, raw"
Nutrient,Unit,1Value per 100 g,"1 cup = 180.0g","1 large = 182.0g","1 medium = 123.0g","1 slice or wedge = 20.0g","1 small = 91.0g",
Proximates
"Water",g,93.00,167.40,169.26,114.39,18.60,84.63
"Energy",kcal,23,41,42,28,5,21
"Protein",g,1.20,2.16,2.18,1.48,0.24,1.09
"Total lipid (fat)",g,0.20,0.36,0.36,0.25,0.04,0.18
"Carbohydrate, by difference",g,5.10,9.18,9.28,6.27,1.02,4.64
"Fiber, total dietary",g,1.1,2.0,2.0,1.4,0.2,1.0
"Sugars, total",g,4.00,7.20,7.28,4.92,0.80,3.64
Minerals
"Calcium, Ca",mg,13,23,24,16,3,12
"Iron, Fe",mg,0.51,0.92,0.93,0.63,0.10,0.46
"Magnesium, Mg",mg,10,18,18,12,2,9
"Phosphorus, P",mg,28,50,51,34,6,25
"Potassium, K",mg,204,367,371,251,41,186
"Sodium, Na",mg,13,23,24,16,3,12
"Zinc, Zn",mg,0.07,0.13,0.13,0.09,0.01,0.06
Vitamins
"Vitamin C, total ascorbic acid",mg,23.4,42.1,42.6,28.8,4.7,21.3
"Thiamin",mg,0.060,0.108,0.109,0.074,0.012,0.055
"Riboflavin",mg,0.040,0.072,0.073,0.049,0.008,0.036
"Niacin",mg,0.500,0.900,0.910,0.615,0.100,0.455
"Vitamin B-6",mg,0.081,0.146,0.147,0.100,0.016,0.074
"Folate, DFE",µg,9,16,16,11,2,8
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,32,58,58,39,6,29
"Vitamin A, IU",IU,642,1156,1168,790,128,584
"Vitamin E (alpha-tocopherol)",mg,0.38,0.68,0.69,0.47,0.08,0.35
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,10.1,18.2,18.4,12.4,2.0,9.2
Lipids
"Fatty acids, total saturated",g,0.028,0.050,0.051,0.034,0.006,0.025
"Fatty acids, total monounsaturated",g,0.030,0.054,0.055,0.037,0.006,0.027
"Fatty acids, total polyunsaturated",g,0.081,0.146,0.147,0.100,0.016,0.074
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
