Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35234, Piki bread, made from blue cornmeal (Hopi)"
Nutrient,Unit,1Value per 100 g,"1 piece = 28.0g","1 piece = 19.0g",
Proximates
"Water",g,8.98,2.51,1.71
"Energy",kcal,390,109,74
"Protein",g,9.06,2.54,1.72
"Total lipid (fat)",g,7.16,2.00,1.36
"Carbohydrate, by difference",g,72.22,20.22,13.72
"Fiber, total dietary",g,9.2,2.6,1.7
"Sugars, total",g,1.60,0.45,0.30
Minerals
"Calcium, Ca",mg,184,52,35
"Iron, Fe",mg,6.11,1.71,1.16
"Magnesium, Mg",mg,181,51,34
"Phosphorus, P",mg,374,105,71
"Potassium, K",mg,604,169,115
"Sodium, Na",mg,60,17,11
"Zinc, Zn",mg,3.75,1.05,0.71
Vitamins
"Thiamin",mg,0.160,0.045,0.030
"Riboflavin",mg,0.050,0.014,0.010
"Niacin",mg,2.920,0.818,0.555
"Vitamin B-6",mg,0.542,0.152,0.103
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,3,1,1
"Vitamin E (alpha-tocopherol)",mg,0.76,0.21,0.14
"Vitamin K (phylloquinone)",µg,0.2,0.1,0.0
Lipids
"Fatty acids, total saturated",g,0.819,0.229,0.156
"Fatty acids, total monounsaturated",g,1.783,0.499,0.339
"Fatty acids, total polyunsaturated",g,1.623,0.454,0.308
"Fatty acids, total trans",g,0.006,0.002,0.001
Amino Acids
Other
Footnotes
(b)"Elevated levels from Juniper or saltbush ash"
(b)"Elevated levels from Juniper or saltbush ash"
(b)"Elevated levels from Juniper or saltbush ash"
(a)"Weight of serving (piece) based on limited samples and may vary widely."
(b)"Elevated levels from Juniper or saltbush ash"
(b)"Elevated levels from Juniper or saltbush ash"
(b)"Elevated levels from Juniper or saltbush ash"
