Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:45 EST
"Nutrient data for: 03179, Babyfood, juice, mixed fruit"
Nutrient,Unit,1Value per 100 g,"1 fl oz = 31.2g","1 jar = 127.0g","1 bottle (4 fl oz) = 125.0g",
Proximates
"Water",g,87.90,27.42,111.63,109.88
"Energy",kcal,47,15,60,59
"Protein",g,0.10,0.03,0.13,0.12
"Total lipid (fat)",g,0.10,0.03,0.13,0.12
"Carbohydrate, by difference",g,11.70,3.65,14.86,14.62
"Fiber, total dietary",g,0.1,0.0,0.1,0.1
"Sugars, total",g,8.46,2.64,10.74,10.57
Minerals
"Calcium, Ca",mg,8,2,10,10
"Iron, Fe",mg,0.34,0.11,0.43,0.42
"Magnesium, Mg",mg,5,2,6,6
"Phosphorus, P",mg,5,2,6,6
"Potassium, K",mg,101,32,128,126
"Sodium, Na",mg,8,2,10,10
"Zinc, Zn",mg,0.03,0.01,0.04,0.04
Vitamins
"Vitamin C, total ascorbic acid",mg,63.6,19.8,80.8,79.5
"Thiamin",mg,0.023,0.007,0.029,0.029
"Riboflavin",mg,0.014,0.004,0.018,0.018
"Niacin",mg,0.123,0.038,0.156,0.154
"Vitamin B-6",mg,0.043,0.013,0.055,0.054
"Folate, DFE",µg,7,2,9,9
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,2,1,3,2
"Vitamin A, IU",IU,42,13,53,52
"Vitamin E (alpha-tocopherol)",mg,0.04,0.01,0.05,0.05
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.9,0.3,1.1,1.1
Lipids
"Fatty acids, total saturated",g,0.015,0.005,0.019,0.019
"Fatty acids, total monounsaturated",g,0.006,0.002,0.008,0.007
"Fatty acids, total polyunsaturated",g,0.039,0.012,0.050,0.049
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
