Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:47 EST
"Nutrient data for: 03019, Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars"
Nutrient,Unit,1Value per 100 g,"1 bar = 9.9g",
Proximates
"Water",g,19.09,1.89
"Energy",kcal,330,33
"Protein",g,0.82,0.08
"Total lipid (fat)",g,2.24,0.22
"Carbohydrate, by difference",g,76.61,7.58
"Fiber, total dietary",g,2.0,0.2
"Sugars, total",g,68.65,6.80
Minerals
"Calcium, Ca",mg,18,2
"Iron, Fe",mg,1.05,0.10
"Magnesium, Mg",mg,9,1
"Phosphorus, P",mg,23,2
"Potassium, K",mg,312,31
"Sodium, Na",mg,14,1
"Zinc, Zn",mg,0.14,0.01
Vitamins
"Vitamin C, total ascorbic acid",mg,179.9,17.8
"Thiamin",mg,0.041,0.004
"Riboflavin",mg,0.046,0.005
"Niacin",mg,0.334,0.033
"Vitamin B-6",mg,0.201,0.020
"Folate, DFE",µg,1,0
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,12,1
"Vitamin A, IU",IU,233,23
"Vitamin E (alpha-tocopherol)",mg,0.96,0.10
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,2.5,0.2
Lipids
"Fatty acids, total saturated",g,0.364,0.036
"Fatty acids, total monounsaturated",g,0.092,0.009
"Fatty acids, total polyunsaturated",g,0.664,0.066
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
