Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:48 EST
"Nutrient data for: 03837, Infant formula, ABBOTT NUTRITION, SIMILAC, PM 60/40, powder not reconstituted"
Nutrient,Unit,1Value per 100 g,"1 scoop = 8.7g",
Proximates
"Water",g,2.25,0.20
"Energy",kcal,524,46
"Protein",g,11.40,0.99
"Total lipid (fat)",g,28.71,2.50
"Carbohydrate, by difference",g,54.94,4.78
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,52.38,4.56
Minerals
"Calcium, Ca",mg,288,25
"Iron, Fe",mg,1.13,0.10
"Magnesium, Mg",mg,31,3
"Phosphorus, P",mg,144,13
"Potassium, K",mg,411,36
"Sodium, Na",mg,123,11
"Zinc, Zn",mg,3.85,0.33
Vitamins
"Vitamin C, total ascorbic acid",mg,46.2,4.0
"Thiamin",mg,0.514,0.045
"Riboflavin",mg,0.770,0.067
"Niacin",mg,5.392,0.469
"Vitamin B-6",mg,0.308,0.027
"Folate, DFE",µg,131,11
"Vitamin B-12",µg,1.28,0.11
"Vitamin A, RAE",µg,462,40
"Vitamin A, IU",IU,1541,134
"Vitamin E (alpha-tocopherol)",mg,8.61,0.75
"Vitamin D (D2 + D3)",µg,7.7,0.7
"Vitamin D",IU,308,27
"Vitamin K (phylloquinone)",µg,41.1,3.6
Lipids
"Fatty acids, total saturated",g,12.214,1.063
"Fatty acids, total monounsaturated",g,5.242,0.456
"Fatty acids, total polyunsaturated",g,10.835,0.943
"Cholesterol",mg,17,1
Amino Acids
Other
"Caffeine",mg,0,0
