Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:48 EST
"Nutrient data for: 03988, Infant formula, GERBER, GOOD START, PROTECT PLUS, ready-to-feed"
Nutrient,Unit,1Value per 100 g,"1 fl oz = 30.4g","5.0 fl oz = 152.0g",
Proximates
"Water",g,87.86,26.71,133.55
"Energy",kcal,65,20,99
"Protein",g,1.44,0.44,2.19
"Total lipid (fat)",g,3.36,1.02,5.11
"Carbohydrate, by difference",g,7.17,2.18,10.90
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,7.17,2.18,10.90
Minerals
"Calcium, Ca",mg,44,13,67
"Iron, Fe",mg,0.98,0.30,1.49
"Magnesium, Mg",mg,5,2,8
"Phosphorus, P",mg,25,8,38
"Potassium, K",mg,71,22,108
"Sodium, Na",mg,18,5,27
"Zinc, Zn",mg,0.52,0.16,0.79
Vitamins
"Vitamin C, total ascorbic acid",mg,10.0,3.0,15.2
"Thiamin",mg,0.066,0.020,0.100
"Riboflavin",mg,0.092,0.028,0.140
"Niacin",mg,0.689,0.209,1.047
"Vitamin B-6",mg,0.049,0.015,0.074
"Folate, DFE",µg,17,5,26
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,60,18,91
"Vitamin A, IU",IU,199,60,302
"Vitamin E (alpha-tocopherol)",mg,0.59,0.18,0.90
"Vitamin D (D2 + D3)",µg,1.0,0.3,1.5
"Vitamin D",IU,39,12,59
"Vitamin K (phylloquinone)",µg,5.2,1.6,7.9
Lipids
"Fatty acids, total saturated",g,1.443,0.439,2.193
"Fatty acids, total monounsaturated",g,1.252,0.381,1.903
"Fatty acids, total polyunsaturated",g,0.667,0.203,1.014
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
