Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:50 EST
"Nutrient data for: 03801, Infant formula, NESTLE, GOOD START SUPREME, with iron, liquid concentrate, not reconstituted"
Nutrient,Unit,1Value per 100 g,"1 fl oz = 31.4g",
Proximates
"Water",g,75.80,23.80
"Energy",kcal,127,40
"Protein",g,2.79,0.88
"Total lipid (fat)",g,6.50,2.04
"Carbohydrate, by difference",g,14.20,4.46
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,9.70,3.05
Minerals
"Calcium, Ca",mg,81,25
"Iron, Fe",mg,1.90,0.60
"Magnesium, Mg",mg,9,3
"Phosphorus, P",mg,46,14
"Potassium, K",mg,137,43
"Sodium, Na",mg,34,11
"Zinc, Zn",mg,1.02,0.32
Vitamins
"Vitamin C, total ascorbic acid",mg,11.0,3.5
"Thiamin",mg,0.127,0.040
"Riboflavin",mg,0.178,0.056
"Niacin",mg,1.330,0.418
"Vitamin B-6",mg,0.095,0.030
"Folate, DFE",µg,32,10
"Vitamin B-12",µg,0.42,0.13
"Vitamin A, RAE",µg,114,36
"Vitamin A, IU",IU,381,120
"Vitamin E (alpha-tocopherol)",mg,1.91,0.60
"Vitamin D (D2 + D3)",µg,1.9,0.6
"Vitamin D",IU,76,24
"Vitamin K (phylloquinone)",µg,10.0,3.1
Lipids
"Fatty acids, total saturated",g,2.970,0.933
"Fatty acids, total monounsaturated",g,2.060,0.647
"Fatty acids, total polyunsaturated",g,1.420,0.446
"Cholesterol",mg,2,1
Amino Acids
Other
"Caffeine",mg,0,0
