Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:32 EST
"Nutrient data for: 18120, Cake, pound, commercially prepared, butter (includes fresh and frozen)"
Nutrient,Unit,1Value per 100 g,"0.167 loaf 1/6 of the loaf = 61.0g","1 piece individually wrapped cake = 49.0g",
Proximates
"Water",g,25.87,15.78,12.68
"Energy",kcal,353,215,173
"Protein",g,5.00,3.05,2.45
"Total lipid (fat)",g,13.96,8.52,6.84
"Carbohydrate, by difference",g,53.64,32.72,26.28
"Fiber, total dietary",g,0.6,0.4,0.3
"Sugars, total",g,33.36,20.35,16.35
Minerals
"Calcium, Ca",mg,47,29,23
"Iron, Fe",mg,1.48,0.90,0.73
"Magnesium, Mg",mg,8,5,4
"Phosphorus, P",mg,140,85,69
"Potassium, K",mg,149,91,73
"Sodium, Na",mg,377,230,185
"Zinc, Zn",mg,0.43,0.26,0.21
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.173,0.106,0.085
"Riboflavin",mg,0.249,0.152,0.122
"Niacin",mg,1.615,0.985,0.791
"Vitamin B-6",mg,0.036,0.022,0.018
"Folate, DFE",µg,52,32,25
"Vitamin B-12",µg,0.36,0.22,0.18
"Vitamin A, RAE",µg,70,43,34
"Vitamin A, IU",IU,241,147,118
"Vitamin E (alpha-tocopherol)",mg,0.65,0.40,0.32
"Vitamin D (D2 + D3)",µg,0.8,0.5,0.4
"Vitamin D",IU,34,21,17
"Vitamin K (phylloquinone)",µg,1.7,1.0,0.8
Lipids
"Fatty acids, total saturated",g,4.811,2.935,2.357
"Fatty acids, total monounsaturated",g,3.020,1.842,1.480
"Fatty acids, total polyunsaturated",g,3.419,2.086,1.675
"Fatty acids, total trans",g,0.192,0.117,0.094
"Cholesterol",mg,66,40,32
Amino Acids
Other
"Caffeine",mg,0,0,0
