Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:33 EST
"Nutrient data for: 28328, Cookies, chocolate chip sandwich, with creme filling"
Nutrient,Unit,1Value per 100 g,"1 cookie = 34.0g",
Proximates
"Water",g,14.95,5.08
"Energy",kcal,425,144
"Protein",g,2.94,1.00
"Total lipid (fat)",g,17.65,6.00
"Carbohydrate, by difference",g,63.52,21.60
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,38.24,13.00
Minerals
"Calcium, Ca",mg,0,0
"Iron, Fe",mg,1.06,0.36
"Magnesium, Mg",mg,25,8
"Phosphorus, P",mg,59,20
"Potassium, K",mg,94,32
"Sodium, Na",mg,279,95
"Zinc, Zn",mg,0.69,0.23
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.246,0.084
"Riboflavin",mg,0.166,0.056
"Niacin",mg,1.831,0.623
"Vitamin B-6",mg,0.019,0.006
"Folate, DFE",µg,88,30
"Vitamin B-12",µg,0.02,0.01
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,1,0
"Vitamin E (alpha-tocopherol)",mg,1.84,0.63
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,4.2,1.4
Lipids
"Fatty acids, total saturated",g,5.882,2.000
"Fatty acids, total monounsaturated",g,4.504,1.531
"Fatty acids, total polyunsaturated",g,6.393,2.174
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,4,1
