Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:39 EST
"Nutrient data for: 28114, KEEBLER, 100 Calorie RIGHT BITES, FUDGE SHOPPE, Dark Chocolate Fudge Stripes Cookies"
Nutrient,Unit,1Value per 100 g,"1 pouch = 21.0g",
Proximates
"Water",g,1.82,0.38
"Energy",kcal,479,101
"Protein",g,4.50,0.94
"Total lipid (fat)",g,20.10,4.22
"Carbohydrate, by difference",g,71.20,14.95
"Fiber, total dietary",g,3.2,0.7
"Sugars, total",g,39.30,8.25
Minerals
"Iron, Fe",mg,1.70,0.36
"Magnesium, Mg",mg,43,9
"Phosphorus, P",mg,70,15
"Potassium, K",mg,362,76
"Sodium, Na",mg,392,82
"Zinc, Zn",mg,0.40,0.08
Vitamins
"Thiamin",mg,0.290,0.061
"Riboflavin",mg,0.190,0.040
"Niacin",mg,2.100,0.441
"Vitamin B-6",mg,0.010,0.002
"Vitamin D (D2 + D3)",µg,0.1,0.0
"Vitamin D",IU,2,0
Lipids
"Fatty acids, total saturated",g,13.400,2.814
"Fatty acids, total monounsaturated",g,2.300,0.483
"Fatty acids, total polyunsaturated",g,3.600,0.756
"Fatty acids, total trans",g,0.400,0.084
"Cholesterol",mg,0,0
Amino Acids
Other
