Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:40 EST
"Nutrient data for: 18609, KEEBLER, Vanilla Wafers"
Nutrient,Unit,1Value per 100 g,"8.0 cookies = 30.0g",
Proximates
"Water",g,4.10,1.23
"Energy",kcal,462,139
"Protein",g,4.00,1.20
"Total lipid (fat)",g,17.40,5.22
"Carbohydrate, by difference",g,73.10,21.93
"Fiber, total dietary",g,1.4,0.4
"Sugars, total",g,31.60,9.48
Minerals
"Phosphorus, P",mg,42,13
"Potassium, K",mg,84,25
"Sodium, Na",mg,402,121
Vitamins
"Thiamin",mg,0.420,0.126
"Riboflavin",mg,0.230,0.069
"Niacin",mg,2.600,0.780
Lipids
"Fatty acids, total saturated",g,5.700,1.710
"Fatty acids, total monounsaturated",g,3.900,1.170
"Fatty acids, total polyunsaturated",g,6.600,1.980
"Fatty acids, total trans",g,0.250,0.075
"Cholesterol",mg,1,0
Amino Acids
Other
