Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:41 EST
"Nutrient data for: 18614, MARTHA WHITE FOODS, Martha White's Chewy Fudge Brownie Mix, dry"
Nutrient,Unit,1Value per 100 g,"1 serving = 28.0g",
Proximates
"Water",g,4.00,1.12
"Energy",kcal,407,114
"Protein",g,4.42,1.24
"Total lipid (fat)",g,6.16,1.72
"Carbohydrate, by difference",g,83.58,23.40
"Fiber, total dietary",g,2.9,0.8
"Sugars, total",g,54.76,15.33
Minerals
"Calcium, Ca",mg,17,5
"Iron, Fe",mg,3.81,1.07
"Potassium, K",mg,51,14
"Sodium, Na",mg,457,128
"Zinc, Zn",mg,0.26,0.07
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.200,0.056
"Riboflavin",mg,0.130,0.036
"Niacin",mg,1.670,0.468
"Vitamin B-6",mg,0.000,0.000
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,1.700,0.476
"Cholesterol",mg,0,0
Amino Acids
Other
