Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:45 EST
"Nutrient data for: 28238, SUNSHINE, CHEEZ-IT, Colby Crackers"
Nutrient,Unit,1Value per 100 g,"25.0 crackers = 30.0g","1 pouch = 21.0g",
Proximates
"Water",g,2.30,0.69,0.48
"Energy",kcal,512,154,108
"Protein",g,9.55,2.87,2.01
"Total lipid (fat)",g,26.85,8.05,5.64
"Carbohydrate, by difference",g,59.25,17.77,12.44
"Fiber, total dietary",g,2.2,0.7,0.5
"Sugars, total",g,1.20,0.36,0.25
Minerals
"Calcium, Ca",mg,104,31,22
"Iron, Fe",mg,3.90,1.17,0.82
"Magnesium, Mg",mg,15,4,3
"Phosphorus, P",mg,63,19,13
"Potassium, K",mg,97,29,20
"Sodium, Na",mg,761,228,160
"Zinc, Zn",mg,0.70,0.21,0.15
Vitamins
"Thiamin",mg,0.545,0.164,0.114
"Riboflavin",mg,0.330,0.099,0.069
"Niacin",mg,4.400,1.320,0.924
"Vitamin B-6",mg,0.030,0.009,0.006
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,101,30,21
"Vitamin A, IU",IU,336,101,71
Lipids
"Fatty acids, total saturated",g,6.400,1.920,1.344
"Fatty acids, total monounsaturated",g,7.100,2.130,1.491
"Fatty acids, total polyunsaturated",g,12.600,3.780,2.646
"Fatty acids, total trans",g,0.300,0.090,0.063
"Cholesterol",mg,2,1,0
Amino Acids
Other
