Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:32 EST
"Nutrient data for: 23300, Beef, Australian, imported, Wagyu, external fat, Aust. marble score 9, raw"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.0g",
Proximates
"Water",g,25.17,7.05
"Energy",kcal,639,179
"Protein",g,5.54,1.55
"Total lipid (fat)",g,68.07,19.06
"Carbohydrate, by difference",g,0.97,0.27
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,4,1
"Iron, Fe",mg,0.81,0.23
"Sodium, Na",mg,43,12
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, RAE",µg,22,6
"Vitamin A, IU",IU,74,21
Lipids
"Fatty acids, total saturated",g,22.395,6.271
"Fatty acids, total monounsaturated",g,35.821,10.030
"Fatty acids, total polyunsaturated",g,2.448,0.685
"Fatty acids, total trans",g,2.842,0.796
"Cholesterol",mg,95,27
Amino Acids
Other
