Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:33 EST
"Nutrient data for: 23615, Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 lb = 453.6g",
Proximates
"Water",g,59.82,16.96,271.34
"Energy",kcal,203,58,921
"Protein",g,33.13,9.39,150.28
"Total lipid (fat)",g,6.79,1.92,30.80
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,14,4,64
"Iron, Fe",mg,2.88,0.82,13.06
"Magnesium, Mg",mg,22,6,100
"Phosphorus, P",mg,202,57,916
"Potassium, K",mg,261,74,1184
"Sodium, Na",mg,53,15,240
"Zinc, Zn",mg,7.76,2.20,35.20
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.066,0.019,0.299
"Riboflavin",mg,0.221,0.063,1.002
"Niacin",mg,5.003,1.418,22.694
"Vitamin B-6",mg,0.328,0.093,1.488
"Folate, DFE",µg,11,3,50
"Vitamin B-12",µg,2.57,0.73,11.66
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.50,0.14,2.27
"Vitamin K (phylloquinone)",µg,1.8,0.5,8.2
Lipids
"Fatty acids, total saturated",g,2.572,0.729,11.667
"Fatty acids, total monounsaturated",g,2.889,0.819,13.105
"Fatty acids, total polyunsaturated",g,0.235,0.067,1.066
"Cholesterol",mg,97,27,440
Amino Acids
Other
"Caffeine",mg,0,0,0
