Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:36 EST
"Nutrient data for: 23124, Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 191.0g",
Proximates
"Water",g,74.01,62.91,141.36
"Energy",kcal,122,104,233
"Protein",g,21.05,17.89,40.21
"Total lipid (fat)",g,4.20,3.57,8.02
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,11,9,21
"Iron, Fe",mg,2.25,1.91,4.30
"Magnesium, Mg",mg,24,20,46
"Phosphorus, P",mg,215,183,411
"Potassium, K",mg,341,290,651
"Sodium, Na",mg,76,65,145
"Zinc, Zn",mg,7.85,6.67,14.99
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.080,0.068,0.153
"Riboflavin",mg,0.217,0.184,0.414
"Niacin",mg,3.720,3.162,7.105
"Vitamin B-6",mg,0.445,0.378,0.850
"Folate, DFE",µg,3,3,6
"Vitamin B-12",µg,2.99,2.54,5.71
"Vitamin A, RAE",µg,3,3,6
"Vitamin A, IU",IU,11,9,21
"Vitamin E (alpha-tocopherol)",mg,0.20,0.17,0.38
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.2
"Vitamin D",IU,3,3,6
"Vitamin K (phylloquinone)",µg,1.5,1.3,2.9
Lipids
"Fatty acids, total saturated",g,1.976,1.680,3.774
"Fatty acids, total monounsaturated",g,2.279,1.937,4.353
"Fatty acids, total polyunsaturated",g,0.396,0.337,0.756
"Fatty acids, total trans",g,0.239,0.203,0.456
"Cholesterol",mg,68,58,130
Amino Acids
Other
"Caffeine",mg,0,0,0
