Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:36 EST
"Nutrient data for: 23125, Beef, chuck, short ribs, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 piece = 289.0g",
Proximates
"Water",g,52.01,44.21,150.31
"Energy",kcal,305,259,881
"Protein",g,25.48,21.66,73.64
"Total lipid (fat)",g,22.58,19.19,65.26
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,14,12,40
"Iron, Fe",mg,2.70,2.30,7.80
"Magnesium, Mg",mg,20,17,58
"Phosphorus, P",mg,170,144,491
"Potassium, K",mg,239,203,691
"Sodium, Na",mg,70,60,202
"Zinc, Zn",mg,9.73,8.27,28.12
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.090,0.076,0.260
"Riboflavin",mg,0.227,0.193,0.656
"Niacin",mg,3.299,2.804,9.534
"Vitamin B-6",mg,0.287,0.244,0.829
"Folate, DFE",µg,6,5,17
"Vitamin B-12",µg,3.45,2.93,9.97
"Vitamin A, RAE",µg,8,7,23
"Vitamin A, IU",IU,27,23,78
"Vitamin E (alpha-tocopherol)",mg,0.08,0.07,0.23
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.3
"Vitamin D",IU,6,5,17
"Vitamin K (phylloquinone)",µg,1.6,1.4,4.6
Lipids
"Fatty acids, total saturated",g,10.040,8.534,29.016
"Fatty acids, total monounsaturated",g,11.436,9.721,33.050
"Fatty acids, total polyunsaturated",g,0.972,0.826,2.809
"Fatty acids, total trans",g,1.431,1.216,4.136
"Cholesterol",mg,100,85,289
Amino Acids
Other
"Caffeine",mg,0,0,0
