Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:38 EST
"Nutrient data for: 13799, Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"4.0 oz = 114.0g",
Proximates
"Water",g,61.88,70.54
"Energy",kcal,192,219
"Protein",g,19.06,21.73
"Total lipid (fat)",g,12.40,14.14
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,17,19
"Iron, Fe",mg,1.52,1.73
"Magnesium, Mg",mg,19,22
"Phosphorus, P",mg,168,192
"Potassium, K",mg,279,318
"Sodium, Na",mg,51,58
"Zinc, Zn",mg,3.84,4.38
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.074,0.084
"Riboflavin",mg,0.146,0.166
"Niacin",mg,5.036,5.741
"Vitamin B-6",mg,0.496,0.565
"Folate, DFE",µg,7,8
"Vitamin B-12",µg,1.27,1.45
"Vitamin A, RAE",µg,2,2
"Vitamin A, IU",IU,6,7
"Vitamin E (alpha-tocopherol)",mg,0.25,0.28
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,2,2
"Vitamin K (phylloquinone)",µg,1.3,1.5
Lipids
"Fatty acids, total saturated",g,5.219,5.950
"Fatty acids, total monounsaturated",g,5.621,6.408
"Fatty acids, total polyunsaturated",g,0.535,0.610
"Fatty acids, total trans",g,0.381,0.434
"Cholesterol",mg,68,78
Amino Acids
Other
"Caffeine",mg,0,0
Footnotes
(a)"Estimation of the nutrient profile for this composite were based upon the market shares of 1/8? fat trim cuts."
