Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:41 EST
"Nutrient data for: 23372, Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 170.0g",
Proximates
"Water",g,72.44,61.57,123.15
"Energy",kcal,139,118,236
"Protein",g,21.94,18.65,37.30
"Total lipid (fat)",g,5.74,4.88,9.76
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,13,11,22
"Iron, Fe",mg,2.50,2.12,4.25
"Magnesium, Mg",mg,12,10,20
"Phosphorus, P",mg,215,183,366
"Potassium, K",mg,289,246,491
"Sodium, Na",mg,44,37,75
"Zinc, Zn",mg,3.26,2.77,5.54
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.053,0.045,0.090
"Riboflavin",mg,0.318,0.270,0.541
"Niacin",mg,4.755,4.042,8.084
"Vitamin B-6",mg,0.615,0.523,1.045
"Folate, DFE",µg,4,3,7
"Vitamin B-12",µg,3.53,3.00,6.00
"Vitamin A, RAE",µg,2,2,3
"Vitamin A, IU",IU,6,5,10
"Vitamin E (alpha-tocopherol)",mg,0.23,0.20,0.39
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.2
"Vitamin D",IU,3,3,5
"Vitamin K (phylloquinone)",µg,1.5,1.3,2.5
Lipids
"Fatty acids, total saturated",g,1.956,1.663,3.325
"Fatty acids, total monounsaturated",g,2.122,1.804,3.607
"Fatty acids, total polyunsaturated",g,0.420,0.357,0.714
"Fatty acids, total trans",g,0.271,0.230,0.461
"Cholesterol",mg,61,52,104
Amino Acids
Other
"Caffeine",mg,0,0,0
