Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:42 EST
"Nutrient data for: 23384, Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 304.0g",
Proximates
"Water",g,71.68,60.93,217.91
"Energy",kcal,135,115,410
"Protein",g,23.30,19.80,70.83
"Total lipid (fat)",g,4.66,3.96,14.17
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,14,12,43
"Iron, Fe",mg,1.73,1.47,5.26
"Magnesium, Mg",mg,12,10,36
"Phosphorus, P",mg,210,178,638
"Potassium, K",mg,288,245,876
"Sodium, Na",mg,47,40,143
"Zinc, Zn",mg,3.64,3.09,11.07
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.060,0.051,0.182
"Riboflavin",mg,0.220,0.187,0.669
"Niacin",mg,6.435,5.470,19.562
"Vitamin B-6",mg,0.563,0.479,1.712
"Folate, DFE",µg,4,3,12
"Vitamin B-12",µg,1.88,1.60,5.72
"Vitamin A, RAE",µg,2,2,6
"Vitamin A, IU",IU,7,6,21
"Vitamin E (alpha-tocopherol)",mg,0.20,0.17,0.61
"Vitamin D (D2 + D3)",µg,0.1,0.1,0.3
"Vitamin D",IU,2,2,6
"Vitamin K (phylloquinone)",µg,1.5,1.3,4.6
Lipids
"Fatty acids, total saturated",g,2.090,1.776,6.354
"Fatty acids, total monounsaturated",g,2.355,2.002,7.159
"Fatty acids, total polyunsaturated",g,0.363,0.309,1.104
"Fatty acids, total trans",g,0.287,0.244,0.872
"Cholesterol",mg,62,53,188
Amino Acids
Other
"Caffeine",mg,0,0,0
