Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:47 EST
"Nutrient data for: 13095, Beef, rib, eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, raw"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 lb = 453.6g",
Proximates
"Water",g,58.03,16.45,263.22
"Energy",kcal,274,78,1243
"Protein",g,17.51,4.96,79.43
"Total lipid (fat)",g,22.07,6.26,100.11
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,10,3,45
"Iron, Fe",mg,1.87,0.53,8.48
"Magnesium, Mg",mg,18,5,82
"Phosphorus, P",mg,168,48,762
"Potassium, K",mg,305,86,1383
"Sodium, Na",mg,56,16,254
"Zinc, Zn",mg,3.85,1.09,17.46
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.080,0.023,0.363
"Riboflavin",mg,0.130,0.037,0.590
"Niacin",mg,3.230,0.916,14.651
"Vitamin B-6",mg,0.360,0.102,1.633
"Folate, DFE",µg,5,1,23
"Vitamin B-12",µg,3.11,0.88,14.11
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,9.000,2.551,40.824
"Fatty acids, total monounsaturated",g,9.580,2.716,43.455
"Fatty acids, total polyunsaturated",g,0.770,0.218,3.493
"Cholesterol",mg,68,19,308
Amino Acids
Other
