Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:47 EST
"Nutrient data for: 13284, Beef, rib eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g",
Proximates
"Water",g,71.33,60.63
"Energy",kcal,149,127
"Protein",g,21.17,17.99
"Total lipid (fat)",g,6.57,5.58
"Carbohydrate, by difference",g,0.00,0.00
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,10,8
"Iron, Fe",mg,1.94,1.65
"Magnesium, Mg",mg,20,17
"Phosphorus, P",mg,157,133
"Potassium, K",mg,297,252
"Sodium, Na",mg,52,44
"Zinc, Zn",mg,5.28,4.49
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.076,0.065
"Riboflavin",mg,0.166,0.141
"Niacin",mg,3.624,3.080
"Vitamin B-6",mg,0.302,0.257
"Folate, DFE",µg,6,5
"Vitamin B-12",µg,2.51,2.13
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
Lipids
"Fatty acids, total saturated",g,2.650,2.252
"Fatty acids, total monounsaturated",g,2.771,2.355
"Fatty acids, total polyunsaturated",g,0.189,0.161
"Cholesterol",mg,60,51
Amino Acids
Other
"Caffeine",mg,0,0
