Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:46 EST
"Nutrient data for: 23272, Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled"
Nutrient,Unit,1Value per 100 g,"1 fillet = 135.0g",
Proximates
"Water",g,60.74,82.00
"Energy",kcal,199,269
"Protein",g,28.77,38.84
"Total lipid (fat)",g,9.20,12.42
"Carbohydrate, by difference",g,0.17,0.23
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,0.00,0.00
Minerals
"Calcium, Ca",mg,6,8
"Iron, Fe",mg,2.77,3.74
"Magnesium, Mg",mg,28,38
"Phosphorus, P",mg,262,354
"Potassium, K",mg,410,554
"Sodium, Na",mg,56,76
"Zinc, Zn",mg,7.21,9.73
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.058,0.078
"Riboflavin",mg,0.228,0.308
"Niacin",mg,5.816,7.852
"Vitamin B-6",mg,0.551,0.744
"Folate, DFE",µg,7,9
"Vitamin B-12",µg,3.25,4.39
"Vitamin A, RAE",µg,2,3
"Vitamin A, IU",IU,6,8
"Vitamin D (D2 + D3)",µg,0.1,0.1
"Vitamin D",IU,4,5
"Vitamin K (phylloquinone)",µg,1.6,2.2
Lipids
"Fatty acids, total saturated",g,3.205,4.327
"Fatty acids, total monounsaturated",g,3.962,5.349
"Fatty acids, total polyunsaturated",g,0.347,0.468
"Fatty acids, total trans",g,0.398,0.537
"Cholesterol",mg,82,111
Amino Acids
Other
"Caffeine",mg,0,0
