Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:54 EST
"Nutrient data for: 13342, Beef, sandwich steaks, flaked, chopped, formed and thinly sliced, raw"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak = 56.0g","1 package = 396.0g",
Proximates
"Water",g,56.00,47.60,31.36,221.76
"Energy",kcal,309,263,173,1224
"Protein",g,16.50,14.03,9.24,65.34
"Total lipid (fat)",g,27.00,22.95,15.12,106.92
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,12,10,7,48
"Iron, Fe",mg,1.86,1.58,1.04,7.37
"Magnesium, Mg",mg,16,14,9,63
"Phosphorus, P",mg,133,113,74,527
"Potassium, K",mg,233,198,130,923
"Sodium, Na",mg,68,58,38,269
"Zinc, Zn",mg,3.63,3.09,2.03,14.37
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.039,0.033,0.022,0.154
"Riboflavin",mg,0.154,0.131,0.086,0.610
"Niacin",mg,4.583,3.896,2.566,18.149
"Vitamin B-6",mg,0.246,0.209,0.138,0.974
"Folate, DFE",µg,7,6,4,28
"Vitamin B-12",µg,2.71,2.30,1.52,10.73
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.21,0.18,0.12,0.83
"Vitamin D (D2 + D3)",µg,0.4,0.3,0.2,1.6
"Vitamin D",IU,15,13,8,59
"Vitamin K (phylloquinone)",µg,1.7,1.4,1.0,6.7
Lipids
"Fatty acids, total saturated",g,11.538,9.807,6.461,45.690
"Fatty acids, total monounsaturated",g,11.038,9.382,6.181,43.710
"Fatty acids, total polyunsaturated",g,0.488,0.415,0.273,1.932
"Cholesterol",mg,71,60,40,281
Amino Acids
Other
"Caffeine",mg,0,0,0,0
