Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:57 EST
"Nutrient data for: 13451, Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak (yield from 518 g raw meat) = 384.0g",
Proximates
"Water",g,60.33,51.28,231.67
"Energy",kcal,212,180,814
"Protein",g,29.33,24.93,112.63
"Total lipid (fat)",g,9.67,8.22,37.13
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,22,19,84
"Iron, Fe",mg,1.89,1.61,7.26
"Magnesium, Mg",mg,25,21,96
"Phosphorus, P",mg,229,195,879
"Potassium, K",mg,368,313,1413
"Sodium, Na",mg,61,52,234
"Zinc, Zn",mg,5.33,4.53,20.47
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.079,0.067,0.303
"Riboflavin",mg,0.141,0.120,0.541
"Niacin",mg,7.807,6.636,29.979
"Vitamin B-6",mg,0.614,0.522,2.358
"Folate, DFE",µg,9,8,35
"Vitamin B-12",µg,1.73,1.47,6.64
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.42,0.36,1.61
"Vitamin D (D2 + D3)",µg,0.2,0.2,0.8
"Vitamin D",IU,7,6,27
"Vitamin K (phylloquinone)",µg,1.5,1.3,5.8
Lipids
"Fatty acids, total saturated",g,3.754,3.191,14.415
"Fatty acids, total monounsaturated",g,3.959,3.365,15.203
"Fatty acids, total polyunsaturated",g,0.359,0.305,1.379
"Cholesterol",mg,88,75,338
Amino Acids
Other
"Caffeine",mg,0,0,0
