Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:57 EST
"Nutrient data for: 13452, Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 steak (yield from 532 g raw meat) = 393.0g",
Proximates
"Water",g,59.68,50.73,234.54
"Energy",kcal,219,186,861
"Protein",g,29.02,24.67,114.05
"Total lipid (fat)",g,10.54,8.96,41.42
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,19,16,75
"Iron, Fe",mg,1.96,1.67,7.70
"Magnesium, Mg",mg,24,20,94
"Phosphorus, P",mg,218,185,857
"Potassium, K",mg,355,302,1395
"Sodium, Na",mg,58,49,228
"Zinc, Zn",mg,5.21,4.43,20.48
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.072,0.061,0.283
"Riboflavin",mg,0.128,0.109,0.503
"Niacin",mg,7.870,6.690,30.929
"Vitamin B-6",mg,0.578,0.491,2.272
"Folate, DFE",µg,9,8,35
"Vitamin B-12",µg,1.91,1.62,7.51
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.43,0.37,1.69
"Vitamin K (phylloquinone)",µg,1.5,1.3,5.9
Lipids
"Fatty acids, total saturated",g,4.090,3.476,16.074
"Fatty acids, total monounsaturated",g,4.314,3.667,16.954
"Fatty acids, total polyunsaturated",g,0.391,0.332,1.537
"Cholesterol",mg,89,76,350
Amino Acids
Other
"Caffeine",mg,0,0,0
