Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:21 EST
"Nutrient data for: 14179, Beverages, coffee, ready to drink, milk based, sweetened"
Nutrient,Unit,1Value per 100 g,"1 cup = 262.0g",
Proximates
"Water",g,83.56,218.93
"Energy",kcal,71,186
"Protein",g,1.98,5.19
"Total lipid (fat)",g,1.38,3.62
"Carbohydrate, by difference",g,12.60,33.01
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,10.67,27.96
Minerals
"Calcium, Ca",mg,74,194
"Iron, Fe",mg,0.04,0.10
"Magnesium, Mg",mg,9,24
"Phosphorus, P",mg,59,155
"Potassium, K",mg,175,458
"Sodium, Na",mg,26,68
"Zinc, Zn",mg,0.26,0.68
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.043,0.113
"Riboflavin",mg,0.193,0.506
"Niacin",mg,1.320,3.458
"Vitamin B-6",mg,0.000,0.000
"Folate, DFE",µg,0,0
"Vitamin B-12",µg,0.51,1.34
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.01,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,1,3
"Vitamin K (phylloquinone)",µg,0.1,0.3
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total monounsaturated",g,0.293,0.768
"Fatty acids, total polyunsaturated",g,0.038,0.100
"Cholesterol",mg,5,13
Amino Acids
Other
"Caffeine",mg,28,73
