Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:23 EST
"Nutrient data for: 14599, Beverages, Powerade Zero Ion4, calorie-free, assorted flavors"
Nutrient,Unit,1Value per 100 g,"8.0 fl oz = 237.0g","12.0 fl oz = 355.0g",
Proximates
"Water",g,99.89,236.74,354.61
"Energy",kcal,0,0,0
"Protein",g,0.00,0.00,0.00
"Total lipid (fat)",g,0.00,0.00,0.00
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,2,5,7
"Iron, Fe",mg,0.05,0.12,0.18
"Magnesium, Mg",mg,1,2,4
"Phosphorus, P",mg,0,0,0
"Potassium, K",mg,10,24,36
"Sodium, Na",mg,42,100,149
"Zinc, Zn",mg,0.01,0.02,0.04
Vitamins
"Vitamin C, total ascorbic acid",mg,2.5,5.9,8.9
"Thiamin",mg,0.011,0.026,0.039
"Riboflavin",mg,0.000,0.000,0.000
"Niacin",mg,0.845,2.003,3.000
"Vitamin B-6",mg,0.056,0.133,0.199
"Folate, DFE",µg,0,0,0
"Vitamin B-12",µg,0.17,0.40,0.60
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.57,1.35,2.02
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
"Vitamin K (phylloquinone)",µg,0.2,0.5,0.7
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000,0.000
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
