Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:25 EST
"Nutrient data for: 14293, Lemonade, frozen concentrate, white, prepared with water"
Nutrient,Unit,1Value per 100 g,"1 fl oz = 30.9g","1 cup 8 fl oz = 247.0g",
Proximates
"Water",g,89.35,27.61,220.69
"Energy",kcal,40,12,99
"Protein",g,0.07,0.02,0.17
"Total lipid (fat)",g,0.04,0.01,0.10
"Carbohydrate, by difference",g,10.42,3.22,25.74
"Fiber, total dietary",g,0.0,0.0,0.0
"Sugars, total",g,9.98,3.08,24.65
Minerals
"Calcium, Ca",mg,4,1,10
"Iron, Fe",mg,0.16,0.05,0.40
"Magnesium, Mg",mg,2,1,5
"Phosphorus, P",mg,2,1,5
"Potassium, K",mg,15,5,37
"Sodium, Na",mg,4,1,10
"Zinc, Zn",mg,0.02,0.01,0.05
Vitamins
"Vitamin C, total ascorbic acid",mg,3.9,1.2,9.6
"Thiamin",mg,0.006,0.002,0.015
"Riboflavin",mg,0.021,0.006,0.052
"Niacin",mg,0.016,0.005,0.040
"Vitamin B-6",mg,0.006,0.002,0.015
"Folate, DFE",µg,1,0,2
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0
"Vitamin A, IU",IU,1,0,2
"Vitamin E (alpha-tocopherol)",mg,0.01,0.00,0.02
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.006,0.002,0.015
"Fatty acids, total monounsaturated",g,0.002,0.001,0.005
"Fatty acids, total polyunsaturated",g,0.013,0.004,0.032
"Fatty acids, total trans",g,0.000,0.000,0.000
"Cholesterol",mg,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0
