Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:02 EST
"Nutrient data for: 08707, Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolate Almond"
Nutrient,Unit,1Value per 100 g,"0.67 Cup (1 NLEA serving) = 28.0g",
Proximates
"Water",g,3.00,0.84
"Energy",kcal,375,105
"Protein",g,7.59,2.13
"Total lipid (fat)",g,5.09,1.43
"Carbohydrate, by difference",g,81.50,22.82
"Fiber, total dietary",g,10.3,2.9
"Sugars, total",g,27.50,7.70
Minerals
"Calcium, Ca",mg,105,29
"Iron, Fe",mg,25.70,7.20
"Magnesium, Mg",mg,74,21
"Phosphorus, P",mg,196,55
"Potassium, K",mg,312,87
"Sodium, Na",mg,545,153
"Zinc, Zn",mg,4.00,1.12
Vitamins
"Vitamin C, total ascorbic acid",mg,75.0,21.0
"Thiamin",mg,1.870,0.524
"Riboflavin",mg,2.130,0.596
"Niacin",mg,25.000,7.000
"Vitamin B-6",mg,2.500,0.700
"Vitamin B-12",µg,7.00,1.96
"Vitamin A, IU",IU,2679,750
"Vitamin D (D2 + D3)",µg,5.4,1.5
"Vitamin D",IU,215,60
Lipids
"Fatty acids, total saturated",g,1.390,0.389
"Fatty acids, total monounsaturated",g,2.090,0.585
"Fatty acids, total polyunsaturated",g,1.290,0.361
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
