Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:02 EST
"Nutrient data for: 08138, Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS"
Nutrient,Unit,1Value per 100 g,"1 cup = 30.0g",
Proximates
"Water",g,2.19,0.66
"Energy",kcal,387,116
"Protein",g,6.94,2.08
"Total lipid (fat)",g,3.53,1.06
"Carbohydrate, by difference",g,82.77,24.83
"Fiber, total dietary",g,4.9,1.5
"Sugars, total",g,40.91,12.27
Minerals
"Calcium, Ca",mg,333,100
"Iron, Fe",mg,30.00,9.00
"Magnesium, Mg",mg,71,21
"Phosphorus, P",mg,232,70
"Potassium, K",mg,186,56
"Sodium, Na",mg,667,200
"Zinc, Zn",mg,12.50,3.75
Vitamins
"Vitamin C, total ascorbic acid",mg,20.0,6.0
"Thiamin",mg,1.250,0.375
"Riboflavin",mg,1.410,0.423
"Niacin",mg,16.670,5.001
"Vitamin B-6",mg,1.660,0.498
"Folate, DFE",µg,1120,336
"Vitamin B-12",µg,5.00,1.50
"Vitamin A, RAE",µg,500,150
"Vitamin A, IU",IU,1667,500
"Vitamin E (alpha-tocopherol)",mg,0.20,0.06
"Vitamin D (D2 + D3)",µg,3.3,1.0
"Vitamin D",IU,133,40
"Vitamin K (phylloquinone)",µg,0.9,0.3
Lipids
"Fatty acids, total saturated",g,0.719,0.216
"Fatty acids, total monounsaturated",g,1.420,0.426
"Fatty acids, total polyunsaturated",g,1.300,0.390
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
