Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:12 EST
"Nutrient data for: 20105, Macaroni, vegetable, enriched, dry"
Nutrient,Unit,1Value per 100 g,"1 cup spiral shaped = 84.0g","2.0 oz = 57.0g",
Proximates
"Water",g,9.89,8.31,5.64
"Energy",kcal,367,308,209
"Protein",g,13.14,11.04,7.49
"Total lipid (fat)",g,1.04,0.87,0.59
"Carbohydrate, by difference",g,74.88,62.90,42.68
"Fiber, total dietary",g,4.3,3.6,2.5
Minerals
"Calcium, Ca",mg,34,29,19
"Iron, Fe",mg,4.28,3.60,2.44
"Magnesium, Mg",mg,46,39,26
"Phosphorus, P",mg,116,97,66
"Potassium, K",mg,285,239,162
"Sodium, Na",mg,43,36,25
"Zinc, Zn",mg,0.76,0.64,0.43
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,1.032,0.867,0.588
"Riboflavin",mg,0.525,0.441,0.299
"Niacin",mg,7.328,6.156,4.177
"Vitamin B-6",mg,0.129,0.108,0.074
"Folate, DFE",µg,460,386,262
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,8,7,5
"Vitamin A, IU",IU,160,134,91
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,0.150,0.126,0.085
"Fatty acids, total monounsaturated",g,0.120,0.101,0.068
"Fatty acids, total polyunsaturated",g,0.426,0.358,0.243
"Cholesterol",mg,0,0,0
Amino Acids
Other
