Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:14 EST
"Nutrient data for: 20648, Sorghum flour, whole-grain"
Nutrient,Unit,1Value per 100 g,"1 cup = 121.0g",
Proximates
"Water",g,10.26,12.41
"Energy",kcal,359,434
"Protein",g,8.43,10.20
"Total lipid (fat)",g,3.34,4.04
"Carbohydrate, by difference",g,76.64,92.73
"Fiber, total dietary",g,6.6,8.0
"Sugars, total",g,1.94,2.35
Minerals
"Calcium, Ca",mg,12,15
"Iron, Fe",mg,3.14,3.80
"Magnesium, Mg",mg,123,149
"Phosphorus, P",mg,278,336
"Potassium, K",mg,324,392
"Sodium, Na",mg,3,4
"Zinc, Zn",mg,1.63,1.97
Vitamins
"Vitamin C, total ascorbic acid",mg,0.8,1.0
"Thiamin",mg,0.329,0.398
"Riboflavin",mg,0.061,0.074
"Niacin",mg,4.496,5.440
"Vitamin B-6",mg,0.325,0.393
"Folate, DFE",µg,25,30
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.50,0.60
"Vitamin K (phylloquinone)",µg,6.4,7.7
Lipids
"Fatty acids, total saturated",g,0.528,0.639
"Fatty acids, total monounsaturated",g,0.943,1.141
"Fatty acids, total polyunsaturated",g,1.403,1.698
"Fatty acids, total trans",g,0.004,0.005
Amino Acids
Other
Footnotes
(a)"Mean value contains data based on the analysis of 5-methyltetrahydrofolate, 10-Formyl folic acid, and 5-Formyltetrahydrofolic acid plus total folate determined microbiologically"
