Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:14 EST
"Nutrient data for: 20622, Spaghetti, protein-fortified, dry, enriched (n x 6.25)"
Nutrient,Unit,1Value per 100 g,"2.0 oz = 57.0g",
Proximates
"Water",g,9.23,5.26
"Energy",kcal,374,213
"Protein",g,21.78,12.41
"Total lipid (fat)",g,2.23,1.27
"Carbohydrate, by difference",g,65.65,37.42
"Fiber, total dietary",g,2.4,1.4
Minerals
"Calcium, Ca",mg,39,22
"Iron, Fe",mg,4.15,2.37
"Magnesium, Mg",mg,65,37
"Phosphorus, P",mg,163,93
"Potassium, K",mg,201,115
"Sodium, Na",mg,8,5
"Zinc, Zn",mg,1.79,1.02
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,1.187,0.677
"Riboflavin",mg,0.475,0.271
"Niacin",mg,7.654,4.363
"Vitamin B-6",mg,0.178,0.101
"Folate, DFE",µg,458,261
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,0.328,0.187
"Fatty acids, total monounsaturated",g,0.271,0.154
"Fatty acids, total polyunsaturated",g,0.986,0.562
"Cholesterol",mg,0,0
Amino Acids
Other
