Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:14 EST
"Nutrient data for: 20640, Wheat flour, white (industrial), 13% protein, bleached, enriched"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,12.82,
"Energy",kcal,362,
"Protein",g,13.07,
"Total lipid (fat)",g,1.38,
"Carbohydrate, by difference",g,72.20,
"Fiber, total dietary",g,2.4,
"Sugars, total",g,1.10,
Minerals
"Calcium, Ca",mg,24,
"Iron, Fe",mg,5.06,
"Magnesium, Mg",mg,35,
"Phosphorus, P",mg,119,
"Potassium, K",mg,128,
"Sodium, Na",mg,2,
"Zinc, Zn",mg,1.60,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.736,
"Riboflavin",mg,0.445,
"Niacin",mg,5.953,
"Vitamin B-6",mg,0.045,
"Folate, DFE",µg,268,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.05,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.3,
Lipids
"Fatty acids, total saturated",g,0.189,
"Fatty acids, total monounsaturated",g,0.152,
"Fatty acids, total polyunsaturated",g,0.683,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
