Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 12:30 EST
"Nutrient data for: 21143, CHICK-FIL-A, Chick-n-Strips"
Nutrient,Unit,1Value per 100 g,"1 strip = 50.0g","1 serving 4 pieces = 201.0g",
Proximates
"Water",g,54.35,27.18,109.24
"Energy",kcal,228,114,458
"Protein",g,21.40,10.70,43.01
"Total lipid (fat)",g,11.20,5.60,22.51
"Carbohydrate, by difference",g,10.39,5.20,20.88
"Fiber, total dietary",g,0.9,0.5,1.8
"Sugars, total",g,1.24,0.62,2.49
Minerals
"Calcium, Ca",mg,25,12,50
"Iron, Fe",mg,0.97,0.48,1.95
"Magnesium, Mg",mg,30,15,60
"Phosphorus, P",mg,264,132,531
"Potassium, K",mg,497,248,999
"Sodium, Na",mg,577,288,1160
"Zinc, Zn",mg,0.72,0.36,1.45
Vitamins
"Vitamin C, total ascorbic acid",mg,1.0,0.5,2.0
"Thiamin",mg,0.153,0.076,0.308
"Riboflavin",mg,0.270,0.135,0.543
"Niacin",mg,8.763,4.381,17.614
"Vitamin B-6",mg,0.476,0.238,0.957
"Vitamin B-12",µg,0.19,0.10,0.38
"Vitamin E (alpha-tocopherol)",mg,1.56,0.78,3.14
Lipids
"Fatty acids, total saturated",g,2.057,1.028,4.135
"Fatty acids, total monounsaturated",g,6.165,3.083,12.392
"Fatty acids, total polyunsaturated",g,2.409,1.204,4.842
"Fatty acids, total trans",g,0.036,0.018,0.072
"Cholesterol",mg,56,28,113
Amino Acids
Other
